element,Z,Zv,channel,alpha1,alpha2,alpha3,c1,c2,c3,c4,c5,c6
Dy,66,20,so2,0.49,0.64,0.69,-0.0302,-0.0074,0.0079,-0.0028,0.0009,0.0063
Dy,66,20,so3,22.54,30.35,40.40,-0.0418,-0.0123,0.0028,-0.0011,-0.0003,0.0005
Ho,67,21,core,7.61,3.04,,2.0909,-1.0909,,,,
Ho,67,21,l0,4.30,5.13,6.43,-12.2311,0.5302,-0.0108,0.2540,0.0334,-0.0391
Ho,67,21,l1,3.74,4.54,6.51,-11.1537,0.1971,-0.0920,0.1570,0.0362,-0.0296
Ho,67,21,l2,1.00,1.12,4.98,-7.5630,-4.9238,-3.2952,-0.2738,-0.0489,0.0187
Ho,67,21,l3,9.47,22.29,67.95,7.6062,3.8647,-1.0828,0.1853,-0.6586,0.1766
Ho,67,21,so1,1.39,1.97,2.37,-0.4390,-0.0516,0.0543,-0.0134,-0.0056,-0.0054
Ho,67,21,so2,0.46,0.63,0.73,-0.0302,-0.0094,0.0081,-0.0039,0.0021,0.0061
Ho,67,21,so3,26.02,34.97,46.35,-0.0529,-0.0141,0.0064,-0.0017,-0.0009,0.0012
Er,68,22,core,7.81,3.12,,2.0304,-1.0304,,,,
Er,68,22,l0,4.43,5.33,6.72,-12.2358,0.5076,-0.0062,0.2585,0.0377,-0.0401
Er,68,22,l1,4.07,4.86,6.27,-11.1562,0.5467,-0.1428,0.1454,0.0442,-0.0260
Er,68,22,l2,1.03,1.13,4.91,-7.5853,-4.9303,-3.3638,-0.2337,-0.0844,0.0554
Er,68,22,l3,10.49,22.24,96.01,7.9047,3.6124,-1.1072,0.1830,-0.5547,-0.0141
Er,68,22,so1,1.30,1.95,2.51,-0.4587,-0.0952,0.0492,-0.0166,-0.0052,-0.0060
Er,68,22,so2,0.47,0.65,0.75,-0.0311,-0.0098,0.0084,-0.0041,0.0022,0.0064
Er,68,22,so3,26.84,36.06,47.83,-0.0523,-0.0144,0.0047,-0.0014,-0.0006,0.0008
Tm,69,23,core,8.00,3.20,,1.9772,-0.9772,,,,
Tm,69,23,l0,4.33,5.37,7.25,-12.2384,0.0973,0.0615,0.2781,0.0234,-0.0452
Tm,69,23,l1,4.16,5.01,6.32,-11.1663,0.4813,-0.1266,0.1557,0.0407,-0.0272
Tm,69,23,l2,0.99,1.09,4.76,-7.4010,-5.0757,-3.6580,-0.2274,-0.1009,0.1168
Tm,69,23,l3,10.70,23.01,97.41,8.0188,3.7007,-1.1219,0.1746,-0.5675,-0.0096
Tm,69,23,so1,1.63,2.12,2.44,-0.4907,-0.0433,0.0484,-0.0127,-0.0049,-0.0093
Tm,69,23,so2,0.46,0.82,1.03,-0.0329,-0.0119,0.0088,-0.0014,-0.0036,0.0052
Tm,69,23,so3,27.19,36.08,47.95,-0.0507,-0.0151,0.0022,-0.0013,0.0000,0.0004
Yb,70,24,core,8.21,3.28,,1.9271,-0.9271,,,,
Yb,70,24,l0,4.75,5.66,7.29,-12.2213,0.5562,-0.0038,0.2658,0.0464,-0.0411
Yb,70,24,l1,4.28,5.16,6.51,-11.1769,0.4612,-0.1191,0.1603,0.0419,-0.0283
Yb,70,24,l2,0.92,1.01,5.25,-7.1961,-5.2544,-4.0282,-0.4326,-0.0233,0.0352
Yb,70,24,l3,10.84,23.34,104.93,8.1067,3.8237,-1.1214,0.1763,-0.5767,-0.0296
Yb,70,24,so1,1.80,2.35,2.52,-0.5165,-0.0274,0.0481,-0.0093,-0.0027,-0.0100
Yb,70,24,so2,0.39,0.59,0.75,-0.0296,-0.0137,0.0082,-0.0043,0.0049,0.0083
Yb,70,24,so3,28.40,38.60,53.04,-0.0513,-0.0151,0.0015,-0.0009,0.0000,0.0002
Lu,71,25,core,8.50,3.40,,1.8919,-0.8919,,,,
Lu,71,25,l0,4.14,5.46,8.81,-12.2748,-0.7498,0.1571,0.3173,0.0005,-0.0580
Lu,71,25,l1,4.37,5.26,6.65,-11.2713,0.3629,-0.0966,0.1760,0.0399,-0.0307
Lu,71,25,l2,1.43,2.07,5.11,-8.1746,-4.8216,-2.0022,0.0534,-0.1323,0.0657
Lu,71,25,l3,10.00,27.95,77.78,8.1099,4.6874,-1.1615,0.0700,-0.7321,0.2595
Lu,71,25,so1,1.43,2.17,2.78,-0.5342,-0.1358,0.0406,-0.0209,-0.0045,-0.0146
Lu,71,25,so2,0.73,1.03,1.14,-0.0448,-0.0103,0.0103,-0.0043,0.0016,0.0049
Lu,71,25,so3,32.21,44.08,58.94,-0.0613,-0.0177,0.0028,-0.0013,-0.0001,0.0004
Hf,72,4,core,2.02,0.80,,5.8921,-4.8921,,,,
Hf,72,4,l0,0.96,1.28,1.51,-7.5055,0.1785,-0.2739,0.0967,0.0822,0.0337
Hf,72,4,l1,0.47,0.87,1.30,-6.3572,-2.0326,-0.5975,0.1046,0.0384,0.0356
Hf,72,4,l2,1.48,1.66,2.10,-3.1747,-0.7669,0.0457,-0.0085,0.0513,0.0490
Hf,72,4,l3,1.04,1.17,1.33,-4.8138,-1.0321,0.2355,0.0761,-0.0860,-0.0208
Hf,72,4,so1,0.17,0.26,0.32,-0.2748,-0.0769,0.0173,-0.0104,0.0076,-0.0054
Hf,72,4,so2,0.76,1.09,1.17,-0.0462,-0.0101,0.0113,-0.0049,0.0004,0.0047
Ta,73,5,core,2.16,0.86,,4.7264,-3.7264,,,,
Ta,73,5,l0,0.68,0.75,1.35,-7.7044,-1.6658,-0.3376,0.1727,-0.0935,0.0128
Ta,73,5,l1,0.63,0.94,1.21,-6.8198,-1.2014,-0.6058,0.0729,0.0285,0.0385
Ta,73,5,l2,1.65,1.82,2.53,-3.2040,-0.6699,0.0252,-0.0195,0.0403,0.0407
Ta,73,5,l3,1.02,1.19,1.47,-4.8229,-1.2430,0.1775,0.0635,-0.0915,-0.0207
Ta,73,5,so1,0.18,0.30,0.39,-0.2984,-0.0938,0.0193,-0.0086,0.0068,-0.0057
Ta,73,5,so2,0.76,1.24,1.49,-0.0512,-0.0161,0.0115,-0.0045,0.0016,0.0051
W,74,6,core,2.26,0.90,,3.9028,-2.9028,,,,
W,74,6,l0,0.70,0.77,1.38,-7.7271,-1.7108,-0.3426,0.1751,-0.0995,0.0111
W,74,6,l1,0.64,0.95,1.22,-6.8405,-1.2895,-0.6084,0.1061,0.0304,0.0404
W,74,6,l2,1.90,2.32,2.60,-3.1992,-0.4925,0.0550,-0.0235,0.0222,0.0360
W,74,6,l3,1.07,1.21,1.45,-4.8452,-1.2223,0.1783,0.0535,-0.0999,-0.0256
W,74,6,so1,0.19,0.29,0.36,-0.3033,-0.0960,0.0159,-0.0132,0.0103,-0.0074
W,74,6,so2,0.56,0.63,0.75,-0.0503,-0.0304,-0.0130,-0.0144,-0.0142,-0.0248
