element,Z,Zv,channel,alpha1,alpha2,alpha3,c1,c2,c3,c4,c5,c6
H,1,1,core,16.22,5.55,,1.1924,-0.1924,,,,
H,1,1,l0,17.08,23.54,25.42,0.0950,-0.0842,-0.0443,-0.0519,0.0084,0.0122
H,1,1,l1,1.71,3.86,8.08,-0.2475,-0.2727,-0.0301,-0.0094,-0.0291,0.0018
H,1,1,l2,2.44,3.30,4.47,-0.6887,0.0913,-0.1809,-0.0881,-0.0541,0.0058
He,2,2,core,56.23,19.24,,1.1998,-0.1998,,,,
He,2,2,l0,65.16,80.72,89.81,0.1418,-0.1252,-0.0670,-0.0749,0.0110,0.0166
He,2,2,l1,7.89,22.12,25.92,-0.5936,-0.2780,0.0535,0.1278,0.0246,0.0124
He,2,2,l2,0.93,15.09,23.06,-1.1044,-0.6780,0.0847,0.2954,-0.0699,0.0057
Li,3,1,core,1.84,0.73,,2.9081,-1.9081,,,,
Li,3,1,l0,1.10,1.23,1.42,-1.4520,0.2543,0.0381,0.0581,-0.0004,-0.0114
Li,3,1,l1,2.48,7.47,8.20,-0.0046,-0.1402,0.1055,0.1259,0.0241,0.0122
Li,3,1,l2,0.33,0.46,0.62,-0.6347,-0.5406,-0.1712,-0.0055,-0.0300,0.0316
Be,4,2,core,2.61,1.00,,1.5280,-0.5280,,,,
Be,4,2,l0,2.20,2.46,2.74,-1.5794,0.4081,0.0459,0.0746,-0.0007,-0.0157
Be,4,2,l1,2.45,15.31,24.62,0.5140,-0.0694,-0.0457,-0.1549,-0.0300,0.0033
Be,4,2,l2,1.14,1.31,1.47,-0.5444,-0.3612,-0.0488,-0.0664,0.0129,0.0156
B,5,3,core,6.21,2.47,,1.6546,-0.6546,,,,
B,5,3,l0,3.85,4.24,4.78,-2.1425,0.4462,0.0505,0.0894,0.0031,-0.0166
B,5,3,l1,2.71,2.98,7.48,0.2076,0.0707,-0.1583,0.0919,-0.0411,0.0048
B,5,3,l2,1.97,2.46,2.77,-0.8961,-0.5528,-0.0688,-0.0508,-0.0069,0.0226
C,6,4,core,9.28,3.69,,1.5222,-0.5222,,,,
C,6,4,l0,5.99,6.75,7.84,-2.4586,0.5262,0.0468,0.0913,0.0037,-0.0171
C,6,4,l1,4.31,4.74,11.92,0.2520,0.0952,-0.1687,0.1009,-0.0447,0.0046
C,6,4,l2,2.97,3.63,3.97,-0.9890,-0.6244,-0.1027,-0.0602,0.0118,0.0223
N,7,5,core,12.87,5.12,,1.4504,-0.4504,,,,
N,7,5,l0,7.70,9.13,11.46,-2.7030,0.4479,0.0930,0.1109,-0.0006,-0.0208
N,7,5,l1,6.47,7.12,17.92,0.3085,0.1260,-0.1754,0.1091,-0.0483,0.0050
N,7,5,l2,4.15,4.95,5.36,-1.1252,-0.6889,-0.1081,-0.0669,0.0147,0.0292
O,8,6,core,18.09,7.19,,1.4224,-0.4224,,,,
O,8,6,l0,11.13,13.29,16.72,-3.0282,0.5619,0.0579,0.1023,0.0040,-0.0187
O,8,6,l1,9.31,10.24,26.07,0.3311,0.1360,-0.1867,0.1150,-0.0504,0.0051
O,8,6,l2,5.87,7.12,8.05,-1.2035,-0.7542,-0.1158,-0.0806,0.0128,0.0274
F,9,7,core,23.78,9.45,,1.3974,-0.3974,,,,
F,9,7,l0,14.86,17.23,20.40,-3.2328,0.6759,0.0344,0.1089,0.0108,-0.0196
F,9,7,l1,13.00,14.30,36.72,0.3796,0.1601,-0.1932,0.1203,-0.0524,0.0054
F,9,7,l2,7.78,9.02,10.17,-1.3425,-0.8033,-0.1176,-0.0850,0.0047,0.0285
F,9,7,so1,15.51,22.39,28.43,-0.0044,-0.0008,0.0002,0.0000,0.0000,0.0000
Ne,10,8,core,29.13,11.58,,1.3711,-0.3711,,,,
Ne,10,8,l0,17.61,20.97,26.47,-3.4264,0.6156,0.0747,0.1241,0.0070,-0.0226
Ne,10,8,l1,16.05,17.66,45.22,0.4077,0.1726,-0.2057,0.1283,-0.0560,0.0054
Ne,10,8,l2,9.17,11.32,12.33,-1.4102,-0.8951,-0.1337,-0.0911,0.0255,0.0450
Ne,10,8,so1,17.64,25.73,34.05,-0.0056,-0.0013,0.0002,0.0000,0.0000,0.0000
Na,11,1,core,1.71,0.50,,5.1815,-4.1815,,,,
Na,11,1,l0,0.99,1.10,1.24,-2.4718,0.3334,0.0619,0.0890,-0.0014,-0.0123
Na,11,1,l1,0.51,0.65,0.84,-1.6202,-0.4908,-0.0861,0.0375,-0.0161,0.0070
Na,11,1,l2,0.38,0.55,0.73,-0.9415,-0.9710,-0.2336,-0.0593,-0.0228,0.0455
Mg,12,2,core,2.04,0.81,,3.5602,-2.5602,,,,
Mg,12,2,l0,1.38,1.49,1.81,-2.8667,0.4554,0.0723,0.0876,-0.0015,-0.0142
Mg,12,2,l1,0.82,1.29,1.60,-1.9343,-0.2867,-0.0215,0.0264,0.0097,0.0038
Mg,12,2,l2,0.47,0.66,0.88,-1.1475,-1.0778,-0.3055,-0.0719,-0.0330,0.0588
Al,13,3,core,1.77,0.70,,1.7905,-0.7905,,,,
Al,13,3,l0,1.92,2.10,2.39,-2.6670,0.7075,0.0251,0.0608,-0.0134,-0.0161
Al,13,3,l1,0.82,1.13,1.51,-1.5706,-0.2352,0.0327,0.0262,-0.0090,-0.0047
Al,13,3,l2,1.36,1.59,1.77,-0.2574,-0.5358,-0.0668,-0.1835,0.0187,0.0551
Si,14,4,core,2.16,0.86,,1.6054,-0.6054,,,,
Si,14,4,l0,2.48,2.81,3.09,-3.0575,0.8096,0.0012,0.0511,-0.0217,-0.0128
Si,14,4,l1,1.24,1.60,2.12,-1.7966,-0.0986,0.0424,0.0284,-0.0030,-0.0039
Si,14,4,l2,1.89,2.22,2.48,-0.1817,-0.5634,-0.0944,-0.2168,0.0215,0.0588
P,15,5,core,2.59,1.03,,1.4995,-0.4995,,,,
P,15,5,l0,2.82,3.21,4.19,-3.3940,0.7363,0.0787,0.0639,-0.0318,-0.0103
P,15,5,l1,1.83,2.15,2.51,-2.0001,0.0851,0.0377,0.0271,-0.0008,-0.0044
P,15,5,l2,2.39,2.78,3.16,-0.1719,-0.6077,-0.1112,-0.2485,0.0206,0.0634
P,15,5,so1,0.43,0.53,0.70,-0.0073,-0.0042,-0.0008,-0.0011,0.0003,-0.0016
S,16,6,core,2.99,1.19,,1.4261,-0.4261,,,,
S,16,6,l0,3.37,3.71,4.69,-3.6230,0.8028,0.1087,0.0697,-0.0439,-0.0062
S,16,6,l1,2.09,2.67,3.51,-2.1440,0.0083,0.0601,0.0318,-0.0038,-0.0053
S,16,6,l2,2.97,3.48,3.97,-0.1018,-0.6482,-0.1307,-0.2799,0.0200,0.0672
S,16,6,so1,0.54,0.66,0.87,-0.0090,-0.0051,-0.0011,-0.0013,0.0003,-0.0020
Cl,17,7,core,3.48,1.38,,1.3860,-0.3860,,,,
Cl,17,7,l0,4.94,9.61,15.05,-3.6651,1.2609,-0.5528,-0.3237,0.0368,0.0150
Cl,17,7,l1,2.41,3.16,4.73,-2.3089,-0.0556,0.0784,0.0357,-0.0080,-0.0060
Cl,17,7,l2,4.04,4.83,5.40,0.0968,-0.6838,-0.1482,-0.3090,0.0218,0.0735
Cl,17,7,so1,0.70,0.86,1.10,-0.0112,-0.0059,-0.0010,-0.0015,0.0005,-0.0020
Ar,18,8,core,3.99,1.59,,1.3622,-0.3622,,,,
Ar,18,8,l0,4.67,5.28,6.26,-4.1009,0.9478,0.1062,0.0805,-0.0524,-0.0079
Ar,18,8,l1,2.91,3.69,6.16,-2.4688,-0.0363,0.0854,0.0374,-0.0108,-0.0067
Ar,18,8,l2,5.10,5.92,6.62,0.1771,-0.7316,-0.1536,-0.3351,0.0117,0.0742
Ar,18,8,so1,0.90,1.10,1.45,-0.0139,-0.0068,-0.0008,-0.0016,0.0009,-0.0018
K,19,1,core,1.42,0.26,,6.3140,-5.3140,,,,
K,19,1,l0,0.58,0.64,0.71,-3.9287,0.2938,-0.0613,0.1062,0.0000,-0.0092
K,19,1,l1,0.39,0.56,0.73,-3.2276,-0.4254,-0.1754,0.0803,0.0067,0.0111
K,19,1,l2,2.84,3.12,55.36,2.0774,-0.7044,-0.1248,-0.3174,-0.0802,-0.0004
Ca,20,2,core,1.61,0.45,,4.8360,-3.8360,,,,
Ca,20,2,l0,0.75,1.19,2.08,-4.7576,0.3179,-0.1286,0.0279,0.0520,0.0054
Ca,20,2,l1,0.67,2.23,2.99,-4.1513,0.0156,-0.1494,-0.2563,-0.0404,-0.0179
Ca,20,2,l2,6.92,24.35,86.59,3.0392,-1.0190,0.2634,0.4961,-0.0295,0.0089
Sc,21,3,core,3.96,0.69,,3.7703,-2.7703,,,,
Sc,21,3,l0,0.93,1.25,1.65,-6.0205,-0.3209,-0.4627,0.1373,0.0055,0.0174
Sc,21,3,l1,0.72,1.08,1.20,-5.0131,-0.9627,-0.7049,0.1062,-0.0850,0.0803
Sc,21,3,l2,5.01,5.96,6.78,2.3518,0.4640,-0.3980,0.2076,-0.1778,0.0562
Ti,22,4,core,4.68,0.94,,3.3889,-2.3889,,,,
Ti,22,4,l0,1.10,1.43,1.88,-6.4327,-0.3723,-0.5592,0.1547,-0.0074,0.0191
Ti,22,4,l1,0.85,1.28,1.42,-5.3910,-1.1136,-0.8023,0.1263,-0.1034,0.0851
Ti,22,4,l2,4.47,2.03,14.24,2.2908,-0.9185,0.4398,-0.5087,-0.1470,0.3404
Ti,22,4,so1,0.22,0.30,0.36,-0.0202,-0.0054,0.0011,-0.0007,0.0005,-0.0004
V,23,5,core,5.14,1.11,,2.9680,-1.9680,,,,
V,23,5,l0,1.23,1.54,1.97,-6.6485,-0.3951,-0.5795,0.1797,-0.0151,0.0176
V,23,5,l1,1.03,1.33,1.43,-5.5539,-0.9047,-0.8758,0.1629,-0.1369,0.0810
V,23,5,l2,4.60,3.28,17.66,2.4040,-1.2280,0.4141,-0.4851,-0.2405,0.3451
V,23,5,so1,0.57,1.30,1.36,-0.0221,0.0064,-0.0025,-0.0011,-0.0001,0.0000
V,23,5,so2,9.12,12.58,16.56,-0.0074,-0.0022,0.0011,-0.0004,0.0000,0.0002
Cr,24,6,core,5.19,1.37,,2.8897,-1.8897,,,,
Cr,24,6,l0,1.24,1.52,1.92,-6.5839,-0.7164,-0.6117,0.2379,-0.0291,0.0185
Cr,24,6,l1,0.89,1.33,1.67,-5.4905,-1.6271,-0.9456,0.2477,-0.1257,0.1132
Cr,24,6,l2,1.42,14.49,13.04,1.3296,2.4992,0.6775,0.2743,0.3172,0.1432
Cr,24,6,so1,0.23,0.34,0.45,-0.0237,-0.0091,0.0010,-0.0011,0.0012,-0.0005
Cr,24,6,so2,9.86,13.42,18.09,-0.0084,-0.0026,0.0013,-0.0005,0.0000,0.0002
Mn,25,7,core,6.03,1.63,,2.7024,-1.7024,,,,
Mn,25,7,l0,1.39,1.81,2.42,-7.0281,-0.8509,-0.6464,0.2240,-0.0292,0.0157
Mn,25,7,l1,1.17,1.64,1.77,-5.7836,-1.3330,-0.9789,0.2018,-0.1250,0.1188
Mn,25,7,l2,1.73,16.13,16.75,1.3989,2.5937,-0.6073,0.2667,-0.3079,0.1595
Mn,25,7,so1,0.26,0.37,0.47,-0.0261,-0.0094,0.0011,-0.0015,0.0013,-0.0006
Mn,25,7,so2,12.01,16.16,20.96,-0.0097,-0.0027,0.0012,-0.0005,0.0000,0.0002
Fe,26,8,core,6.51,1.91,,2.6179,-1.6179,,,,
Fe,26,8,l0,1.67,2.06,2.33,-7.2356,-0.5601,-0.6868,0.2287,-0.0271,0.0198
Fe,26,8,l1,1.22,1.77,1.96,-5.8685,-1.5627,-1.0392,0.2321,-0.1459,0.1258
Fe,26,8,l2,1.95,20.17,19.00,1.4849,2.7562,0.7649,0.2481,0.2996,0.1639
Fe,26,8,so1,0.28,0.40,0.51,-0.0283,-0.0104,0.0012,-0.0018,0.0015,-0.0007
Fe,26,8,so2,15.25,23.70,30.81,-0.0108,-0.0023,0.0009,0.0000,-0.0001,0.0001
Co,27,9,core,6.95,2.38,,2.7407,-1.7407,,,,
Co,27,9,l0,1.67,2.15,2.82,-7.3964,-1.0257,-0.7633,0.2532,-0.0369,0.0198
Co,27,9,l1,0.98,6.55,9.51,-5.5862,-2.7886,0.6251,0.2217,-0.1988,-0.0636
Co,27,9,l2,2.41,23.76,18.38,1.5732,2.6419,0.8724,0.3015,0.3376,0.1447
Co,27,9,so1,0.25,0.32,0.41,-0.0273,-0.0124,-0.0008,-0.0022,0.0021,-0.0019
Co,27,9,so2,11.21,13.48,15.68,-0.0103,-0.0048,-0.0012,0.0000,0.0001,-0.0001
Ni,28,10,core,7.60,2.74,,2.6949,-1.6949,,,,
Ni,28,10,l0,1.80,2.38,3.17,-7.5612,-1.1512,-0.8213,0.2546,-0.0351,0.0228
Ni,28,10,l1,1.18,2.10,2.59,-5.8322,-2.4306,-1.2453,0.2729,-0.1929,0.1633
Ni,28,10,l2,2.53,33.55,26.60,1.5867,2.9229,-0.6560,0.2811,-0.2986,0.1867
Ni,28,10,so1,0.51,1.29,1.50,-0.0324,0.0022,0.0034,0.0025,-0.0008,-0.0003
Ni,28,10,so2,18.01,24.17,31.75,-0.0155,-0.0044,0.0016,-0.0008,0.0001,0.0002
Cu,29,11,core,7.59,3.02,,2.6959,-1.6959,,,,
Cu,29,11,l0,1.75,2.32,3.09,-7.2915,-1.4275,-0.8717,0.3180,-0.0558,0.0289
Cu,29,11,l1,1.25,7.80,10.93,-5.8592,-2.6799,0.6113,0.1380,-0.2028,-0.0691
Cu,29,11,l2,2.78,25.70,27.47,1.7433,3.0657,-0.7516,0.2519,-0.2938,0.1973
Cu,29,11,so1,0.54,1.44,1.73,-0.0347,0.0022,0.0035,0.0029,-0.0008,-0.0003
Cu,29,11,so2,19.55,28.16,37.61,-0.0158,-0.0042,0.0012,-0.0004,0.0000,0.0001
Zn,30,12,core,8.78,3.49,,2.6313,-1.6313,,,,
Zn,30,12,l0,2.11,2.80,3.67,-7.8453,-1.2476,-0.9016,0.2734,-0.0392,0.0280
Zn,30,12,l1,1.38,2.54,3.12,-6.0406,-2.6215,-1.3062,0.2663,-0.2050,0.1599
Zn,30,12,l2,3.09,32.58,30.83,1.7225,3.1083,0.9207,0.2519,0.2946,0.1898
Zn,30,12,so1,0.58,1.48,1.72,-0.0374,0.0024,0.0041,0.0029,-0.0009,-0.0004
Zn,30,12,so2,16.48,18.18,25.99,-0.0165,-0.0077,-0.0025,0.0000,0.0001,-0.0001
Ga,31,3,core,2.01,0.80,,4.0433,-3.0433,,,,
Ga,31,3,l0,2.01,2.23,2.59,-3.9018,0.8835,0.0370,0.1642,0.0385,-0.0110
Ga,31,3,l1,1.23,1.71,2.29,-2.9715,0.0100,0.0161,0.0992,0.0525,0.0134
Ga,31,3,l2,1.10,1.30,1.48,-3.1017,-0.1879,0.0293,-0.0140,-0.0692,-0.0181
Ga,31,3,so1,0.34,0.45,0.61,-0.0369,-0.0168,0.0001,-0.0043,0.0031,-0.0032
Ge,32,4,core,2.28,0.91,,3.1110,-2.1110,,,,
Ge,32,4,l0,2.22,2.45,2.87,-4.2628,0.8653,0.0826,0.1446,0.0039,-0.0226
Ge,32,4,l1,1.79,2.29,2.72,-3.2382,0.5131,-0.1044,0.0547,0.0545,0.0175
Ge,32,4,l2,1.42,1.53,2.07,-3.2171,0.0215,0.0052,-0.0495,-0.0816,-0.0175
Ge,32,4,so1,0.48,0.69,0.88,-0.0487,-0.0181,0.0025,-0.0040,0.0026,-0.0021
As,33,5,core,2.60,1.03,,2.6218,-1.6218,,,,
As,33,5,l0,2.41,2.77,3.52,-4.7162,0.7952,0.1146,0.1326,-0.0152,-0.0269
As,33,5,l1,1.74,1.92,2.42,-3.7141,0.1877,0.0987,0.0830,-0.0171,-0.0106
As,33,5,l2,1.67,1.93,2.22,-3.3845,0.0948,-0.0020,-0.0478,-0.0789,-0.0227
As,33,5,so1,0.67,1.10,1.37,-0.0624,-0.0173,0.0054,-0.0023,0.0012,-0.0014
Se,34,6,core,2.88,1.14,,2.2934,-1.2934,,,,
Se,34,6,l0,2.64,3.16,4.27,-5.1201,0.7585,0.1318,0.1236,-0.0295,-0.0280
Se,34,6,l1,2.04,2.30,2.83,-4.0006,0.3139,0.0941,0.0789,-0.0179,-0.0122
Se,34,6,l2,1.90,2.32,2.59,-3.5118,0.1192,-0.0001,-0.0485,-0.0758,-0.0224
Se,34,6,so1,0.78,1.22,1.51,-0.0715,-0.0191,0.0048,-0.0021,0.0004,-0.0017
Br,35,7,core,3.20,1.27,,2.1007,-1.1007,,,,
Br,35,7,l0,3.07,3.66,4.89,-5.5059,0.9501,0.0931,0.1101,-0.0322,-0.0279
Br,35,7,l1,2.37,2.76,3.29,-4.3404,0.4232,0.0832,0.0741,-0.0192,-0.0121
Br,35,7,l2,2.26,2.66,2.97,-3.6741,0.2350,-0.0095,-0.0527,-0.0789,-0.0247
Br,35,7,so1,0.91,1.53,1.90,-0.0806,-0.0191,0.0064,-0.0009,-0.0005,-0.0018
Kr,36,8,core,3.49,1.39,,1.9478,-0.9478,,,,
Kr,36,8,l0,3.45,3.99,4.73,-5.6969,1.1088,0.0608,0.1088,-0.0277,-0.0306
Kr,36,8,l1,2.70,3.28,3.97,-4.6594,0.5027,0.0713,0.0671,-0.0210,-0.0113
Kr,36,8,l2,2.62,3.05,3.45,-3.8018,0.3188,-0.0171,-0.0609,-0.0845,-0.0267
Kr,36,8,so1,0.66,0.73,0.93,-0.0811,-0.0419,-0.0132,0.0041,0.0065,0.0027
Kr,36,8,so2,0.60,0.74,0.97,-0.0115,-0.0053,-0.0035,-0.0009,0.0009,-0.0003
Rb,37,1,core,1.37,0.21,,6.8301,-5.8301,,,,
Rb,37,1,l0,0.37,0.41,0.57,-4.6310,-0.5824,-0.0743,0.1298,-0.0764,0.0240
Rb,37,1,l1,0.35,0.54,0.71,-4.0288,-0.4084,-0.2697,0.0623,0.0150,0.0192
Rb,37,1,l2,1.05,1.17,1.52,-1.4261,-0.4197,0.2694,0.0335,-0.1074,-0.0399
Rb,37,1,so1,0.08,0.10,0.13,-0.0499,-0.0176,-0.0011,-0.0033,-0.0013,0.0003
Sr,38,2,core,1.52,0.33,,4.8514,-3.8514,,,,
Sr,38,2,l0,0.61,0.97,2.17,-5.4936,0.3031,-0.1884,-0.0028,0.0727,0.0092
